count;dtTot
316;1247
317;1239
318;1308
319;1265
320;1262
321;1476
322;1362
323;1305
324;1389
325;1382
326;1366
327;1353
328;1386
329;1417
330;1377
331;1351
332;1376
333;1633
334;1361
335;1379
336;1352
337;1366
338;1384
339;1445
340;1375
341;1375
342;1374
343;1349
344;1377
345;1407
346;1359
347;1409
348;1353
349;1433
350;1373
351;1371
352;1234
353;1295
354;1258
355;1262
356;1240
357;1312
358;1251
359;1261
360;1245
361;1293
362;1244
363;1313
364;1282
365;1258
366;1275
367;1301
368;1406
369;1258
370;1244
371;1219
372;1246
373;1255
374;1330
375;1256
376;1243
377;1314
378;1258
379;1291
380;1260
381;1262
382;1269
383;1331
384;1424
385;1361
386;1385
387;1384
388;1381
389;1396
390;1340
391;1432
392;1363
393;1362
394;1358
395;1358
396;1387
397;1356
398;1389
399;1391
400;1413
401;1378
402;1330
403;1422
404;1371
405;1370
406;1359
407;1380
408;1359
409;1352
410;1367
411;1379
412;1371
413;1354
414;1334
415;1327
416;1476
417;1311
418;1262
419;1257
420;1262
421;1383
422;1225
423;1286
424;1282
425;1280
426;1250
427;1288
428;1254
429;1257
430;1296
431;1312
432;1403
433;1320
434;1281
435;1267
436;1263
437;1299
438;1254
439;1261
440;1249
441;1244
442;1265
443;1258
444;1281
445;1280
446;1288
447;1266
448;1334
449;1254
450;1238
451;1311
452;1322
453;1253
454;1265
455;1261
456;1280
457;1258
458;1261
459;1263
460;1258
461;1240
462;1280
463;1273
464;1267
465;1237
466;1310
467;1258
468;1263
469;1250
470;1298
471;1263
472;1298
473;1289
474;1279
475;1266
476;1262
477;1242
478;1248
479;1257
480;1246
481;1309
482;1294
483;1288
484;1289
485;1270
486;1252
487;1261
488;1308
489;1380
490;1381
491;1402
492;1358
493;1353
494;1353
495;1433
496;1385
497;1365
498;1356
499;1340
500;1346
501;1262
502;1346
503;1346
504;1349
505;1379
506;1350
507;1367
508;1374
509;1309
510;1280
511;1240
512;1324
513;1252
514;1266
515;1237
516;1253
517;1252
518;1261
519;1307
520;1252
521;1258
522;1252
523;1305
524;1263
525;1262
526;1294
527;1295
528;1259
529;1255
530;1242
531;1275
532;1263
533;1256
534;1363
535;1332
536;1265
537;1311
538;1289
539;1286
540;1416
541;1405
542;1280
543;1294
544;1465
545;1289
546;1414
547;1432
548;1516
549;1560
550;1297
551;3456
552;1370
553;1255
554;1396
555;1399
556;1296
557;1282
558;1294
559;1285
560;1305
561;1288
562;1279
563;1288
564;1290
565;1288
566;1267
567;1275
568;1400
569;1260
570;1354
571;1300
572;1305
573;1265
574;1268
575;1268
576;1394
577;1276
578;1268
579;1271
580;1321
581;1397
582;1353
583;1401
584;1385
585;1387
586;1393
587;1352
588;1455
589;1284
590;1262
591;1283
592;1288
593;1273
594;1289
595;1287
596;1291
597;1287
598;1400
599;1293
600;1300
601;1383
602;1532
603;1523
604;1489
605;1518
606;1422
607;1388
608;1379
609;1387
610;1391
611;1385
612;1512
613;1387
614;1381
615;1425
616;1427
617;1392
618;1385
619;1377
620;1375
621;1424
622;1518
623;1415
624;1288
625;1416
626;1266
627;1398
628;1267
629;1293
630;1266
631;1290
632;1224
633;1389
634;1390
635;1301
636;1263
637;1268
638;1268
639;1264
640;1247
641;1268
642;1296
643;1380
644;1357
645;1512
646;1386
647;1422
648;1355
649;1379
650;1508
651;1562
652;1537
653;1376
654;1515
655;1409
656;1287
657;1403
658;1293
659;1360
660;1404
661;1391
662;1392
663;1271
664;1294
665;1263
666;1268
667;1275
668;1248
669;1263
670;1270
671;1320
672;1263
673;1268
674;1347
675;1389
676;1423
677;1445
678;1519
679;1398
680;1285
681;1287
682;1369
683;1401
684;1224
685;1253
686;1270
687;1309
688;1401
689;1207
690;1264
691;1265
692;1272
693;1274
694;1408
695;1267
696;1273
697;1234
698;1271
699;1260
700;1253
701;1268
702;1260
703;1248
704;1264
705;1275
706;1315
707;1260
708;1272
709;1274
710;1273
711;1400
712;1272
713;1274
714;1280
715;1274
716;1268
717;1267
718;1277
719;1264
720;1293
721;1271
722;1310
723;1272
724;1303
725;1269
726;1273
727;1407
728;1273
729;1268
730;1291
731;1277
732;1366
733;1408
734;1292
735;1232
736;1281
737;1278
738;1288
739;1409
740;1275
741;1306
742;1271
743;1272
744;1270
745;1269
746;1272
747;1270
748;1272
749;1271
750;1267
751;1269
752;1249
753;1311
754;1267
755;1305
756;1248
757;1438
758;1260
759;1260
760;1266
761;1262
762;1271
763;1273
764;1293
765;1319
766;1225
767;1340
768;1291
769;1268
770;1274
771;1275
772;1269
773;1300
774;1278
775;1277
776;1269
777;1286
778;1267
779;1274
780;1269
781;1401
782;1241
783;1280
784;1282
785;1295
786;1285
787;1292
788;1269
789;1276
790;1268
791;1275
792;1273
793;1276
794;1282
795;1279
796;1264
797;1266
798;1294
799;1285
800;1273
801;1319
802;1282
803;1411
804;1275
805;1267
806;1269
807;1232
808;1249
809;1304
810;1262
811;1270
812;1262
813;1256
814;1306
815;1260
816;1293
817;1269
818;1257
819;1323
820;1273
821;1402
822;1272
823;1274
824;1270
825;1317
826;1408
827;1415
828;1273
829;1410
830;1279
831;1307
832;1228
833;1278
834;1272
835;1271
836;1272
837;1294
838;1260
839;1283
840;1270
841;1269
842;1271
843;1276
844;1266
845;1272
846;1270
847;1269
848;1271
849;1295
850;1279
851;1273
852;1267
853;1272
854;1399
855;1255
856;1342
857;1378
858;1390
859;1418
860;1530
861;1526
862;1553
863;1394
864;1515
865;1513
866;1379
867;1544
868;1387
869;1511
870;1281
871;1455
872;1395
873;1397
874;1394
875;1401
876;1265
877;1265
878;1264
879;1255
880;1265
881;1394
882;1207
883;1281
884;1399
885;1392
886;1266
887;1264
888;1423
889;1238
890;1268
891;1421
892;1398
893;1398
894;1405
895;1392
896;1253
897;1244
898;1399
899;1260
900;1396
901;1397
902;1395
903;1391
904;1395
905;1390
906;1258
907;1261
908;1262
909;1462
910;1446
911;1293
912;1278
913;1271
914;1261
915;1393
916;1248
917;1398
918;1370
919;1258
920;1380
921;1383
922;1396
923;1076
924;1397
925;1392
926;1238
927;1268
928;1259
929;1391
930;1305
931;983
932;1332
933;1526
934;1396
935;1523
936;1524
937;1389
938;1517
939;1556
940;1387
941;1523
942;1381
943;1523
944;1489
945;1381
946;1523
947;1515
948;1521
949;1526
950;1388
951;1520
952;1519
953;1524
954;1383
955;1533
956;1387
957;1521
958;1523
959;1378
960;1369
961;1381
962;1519
963;1512
964;1523
965;1385
966;1541
967;1488
968;1495
969;1385
970;1510
971;1396
972;1443
973;1407
974;1512
975;1082
976;1272
977;1260
978;1256
979;1257
980;1261
981;1394
982;1257
983;1399
984;1392
985;1260
986;1234
987;1268
988;1386
989;1251
990;1444
991;1263
992;1262
993;1388
994;1263
995;1394
996;1318
997;1394
998;1394
999;1394
1000;1257
1001;1352
1002;1363
1003;1421
1004;1439
1005;1409
1006;1383
1007;1381
1008;1426
1009;1393
1010;1361
1011;1364
1012;1381
1013;1351
1014;1377
1015;1383
1016;1375
1017;1374
1018;1351
1019;1451
1020;1420
1021;1414
1022;1351
1023;1402
1024;1370
1025;1415
1026;1356
1027;1350
1028;1367
1029;1401
1030;1385
1031;1382
1032;1372
1033;1375
1034;1378
1035;1379
1036;1372
1037;1367
1038;1374
1039;1429
1040;1386
1041;1370
1042;1425
1043;1381
1044;1375
1045;1360
1046;1422
1047;1244
1048;1279
1049;1266
1050;1272
1051;1368
1052;1387
1053;1373
1054;1372
1055;1395
1056;1452
1057;1445
1058;1513
1059;1573
1060;1552
1061;1507
1062;1511
1063;1513
1064;1387
1065;1557
1066;1554
1067;1524
1068;1284
1069;1414
1070;1401
1071;1401
1072;1280
1073;1246
1074;1259
1075;1392
1076;1392
1077;1368
1078;1382
1079;1380
1080;1369
1081;1390
1082;1374
1083;1367
1084;1406
1085;1396
1086;1401
1087;1292
1088;1254
1089;1335
1090;1406
1091;1571
1092;1384
1093;1447
1094;1387
1095;1391
1096;1450
1097;1382
1098;1403
1099;1428
1100;1444
1101;1401
1102;1516
1103;1533
1104;1389
1105;1299
1106;1336
1107;1397
1108;1279
1109;1372
1110;1399
1111;1355
1112;1406
1113;1404
1114;1479
1115;1337
1116;1461
1117;1408
1118;1365
1119;1458
1120;1376
1121;1409
1122;1406
1123;1367
1124;1405
1125;1380
1126;1539
1127;1382
1128;1414
1129;1452
1130;1508
1131;1512
1132;1486
1133;1369
1134;1570
1135;1420
1136;1388
1137;1433
1138;1365
1139;1474
1140;1382
1141;1382
1142;1398
1143;1329
1144;1340
1145;1351
1146;1333
1147;1376
1148;1377
1149;1341
1150;1477
1151;1440
1152;1458
1153;1392
1154;1426
1155;1372
1156;1441
1157;1386
1158;1419
1159;1386
1160;1435
1161;1495
1162;1403
1163;1385
1164;1424
1165;1560
1166;1512
1167;1379
1168;1406
1169;1247
1170;1388
1171;1297
1172;1355
1173;1393
1174;1259
1175;1396
1176;1262
1177;1366
1178;1394
1179;1392
1180;1384
1181;1384
1182;1390
1183;1257
1184;1439
1185;1364
1186;1357
1187;1226
1188;1257
1189;1265
1190;1390
1191;1397
1192;1386
1193;1255
1194;1411
1195;1269
1196;1392
1197;1261
1198;1296
1199;1390
1200;1424
1201;1266
1202;1277
1203;1269
1204;1266
1205;1265
1206;1262
1207;1264
1208;1401
1209;1264
1210;1257
1211;1275
1212;1266
1213;1322
1214;1527
1215;1389
1216;1392
1217;1388
1218;1389
1219;1383
1220;1382
1221;1384
1222;1365
1223;1417
1224;1396
1225;1402
1226;1279
1227;1277
1228;1269
1229;1235
1230;1270
1231;1268
1232;1268
1233;1262
1234;1269
1235;1275
1236;1275
1237;1393
1238;1391
1239;1394
1240;1391
1241;1264
1242;1239
1243;1388
1244;1398
1245;1256
1246;1418
1247;1259
1248;1384
1249;1404
1250;1400
1251;1413
1252;1404
1253;1427
1254;1295
1255;1423
1256;1313
1257;1343
1258;1359
1259;1421
1260;1330
1261;1361
1262;1319
1263;1413
1264;1554
1265;1430
1266;1393
1267;1430
1268;1415
1269;1419
1270;1409
1271;1387
1272;1407
1273;1356
1274;1406
1275;1391
1276;1406
1277;1394
1278;1416
1279;1457
1280;1387
1281;1386
1282;1404
1283;1396
1284;1464
1285;1463
1286;1374
1287;1376
1288;1369
1289;1348
1290;1434
1291;1339
1292;1370
1293;1369
1294;1384
1295;1397
1296;1402
1297;1371
1298;1375
1299;1250
1300;1387
1301;1383
1302;1376
1303;1375
1304;1395
1305;1389
1306;1240
1307;1397
1308;1255
1309;1398
1310;1277
1311;1268
1312;1269
1313;1410
1314;1394
1315;1262
1316;1261
1317;1394
1318;1208
1319;1303
1320;1397
1321;1270
1322;1239
1323;1392
1324;1399
1325;1437
1326;1277
1327;1308
1328;1380
1329;1420
1330;1295
1331;1397
1332;1266
1333;1273
1334;1401
1335;1397
1336;1399
1337;1435
1338;1272
1339;1277
1340;1269
1341;1399
1342;1270
1343;1407
1344;1269
1345;1274
1346;1399
1347;1276
1348;1271
1349;1411
1350;1268
1351;1399
1352;1396
1353;1247
1354;1394
1355;1383
1356;1368
1357;1245
1358;1207
1359;1259
1360;1414
1361;1263
1362;1394
1363;1394
1364;1269
1365;1407
1366;1393
1367;1396
1368;1400
1369;1395
1370;1399
1371;1393
1372;1227
1373;1366
1374;1390
1375;1397
1376;1397
1377;1398
1378;1396
1379;1395
1380;1401
1381;1258
1382;1397
1383;1409
1384;1407
1385;1367
1386;1518
1387;1528
1388;1401
1389;1453
1390;1370
1391;1402
1392;1506
1393;1445
1394;1376
1395;1442
1396;1409
1397;1349
1398;1419
1399;1461
1400;1334
